productType,variantId,sku,prices,tax,categories,images,name.en,description.en,slug.en,metaTitle.en,metaDescription.en,name.en-us,description.en-us,slug.en-us,metaTitle.en-us,metaDescription.en-us,metaKeywords.en,size,amount
ecommerce2024rss_single,1,PLANT_12,EUR 15800,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Ficus_robusta.jpg,,,,,,Ficus robusta,"Ficus robusta is known for its broad, glossy, dark green leaves and robust growth, making it a striking and resilient addition to any indoor plant collection.",ficus-robusta,Ficus robusta,"Ficus robusta is known for its broad, glossy, dark green leaves and robust growth, making it a striking and resilient addition to any indoor plant collection.",,,
ecommerce2024rss_single,1,PLANT_13,EUR 60000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Monstera_deliciosa.jpg,,,,,,Monstera deliciosa,"Monstera deliciosa features large, glossy, heart-shaped leaves with unique natural holes, adding a lush and tropical ambiance to any indoor space.",monstera-deliciosa,Monstera deliciosa,"Monstera deliciosa features large, glossy, heart-shaped leaves with unique natural holes, adding a lush and tropical ambiance to any indoor space.",,large,
ecommerce2024rss_single,1,PLANT_14,EUR 25013,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Monstera_huge.jpg,,,,,,Monstera huge,"Monstera, a popular tropical plant genus, is known for its large, glossy, and often fenestrated leaves that add a bold and exotic touch to any indoor environment.",monstera-huge,Monstera huge,"Monstera, a popular tropical plant genus, is known for its large, glossy, and often fenestrated leaves that add a bold and exotic touch to any indoor environment.",,large,
ecommerce2024rss_single,1,PLANT_15,EUR 10000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Monstera_Minima.jpg,,,,,,Monstera Minima,"Monstera Minima is a compact tropical plant featuring small, split leaves is a charming and manageable choice for indoor spaces.",monstera-minima,Monstera Minima,"Monstera Minima is a compact tropical plant featuring small, split leaves is a charming and manageable choice for indoor spaces.",,,
ecommerce2024rss_single,1,PLANT_16,EUR 25015,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Monstera_obliqua.jpg,,,,,,Monstera obliqua,"Monstera obliqua is a rare and delicate tropical plant distinguished by its thin, lace-like leaves with dramatic perforations.",monstera-obliqua,Monstera obliqua,"Monstera obliqua is a rare and delicate tropical plant distinguished by its thin, lace-like leaves with dramatic perforations.",,,
ecommerce2024rss_single,1,PLANT_17,EUR 20000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Monstera.jpg,,,,,,Monstera,"Monstera, a popular tropical plant genus, is known for its large, glossy, and often fenestrated leaves that add a bold and exotic touch to any indoor environment.",monstera,Monstera,"Monstera, a popular tropical plant genus, is known for its large, glossy, and often fenestrated leaves that add a bold and exotic touch to any indoor environment.",,,
ecommerce2024rss_single,1,PLANT_18,EUR 25017,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Peperomia.jpg,,,,,,Peperomia,"Peperomia is a small, easy-care houseplant known for its attractive, varied foliage ranging from thick, succulent-like leaves to delicate, textured patterns.",peperomia,Peperomia,"Peperomia is a small, easy-care houseplant known for its attractive, varied foliage ranging from thick, succulent-like leaves to delicate, textured patterns.",,,
ecommerce2024rss_single,1,PLANT_19,EUR 76000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Philodendron_birkin.jpg,,,,,,Philodendron birkin,Philodendron Birkin is a stylish houseplant characterized by its dark green leaves adorned with striking white pinstripe variegation.,philodendron-birkin,Philodendron birkin,Philodendron Birkin is a stylish houseplant characterized by its dark green leaves adorned with striking white pinstripe variegation.,,large,
ecommerce2024rss_single,1,PLANT_20,EUR 80000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Philodendron_red_cherry.jpg,,,,,,Philodendron red cherry,"Philodendron Red Cherry is a vibrant houseplant featuring striking, deep red stems and lush green leaves with a reddish hue, adding a pop of color to space.",philodendron-red-cherry,Philodendron red cherry,"Philodendron Red Cherry is a vibrant houseplant featuring striking, deep red stems and lush green leaves with a reddish hue, adding a pop of color to space.",,large,
ecommerce2024rss_single,1,PLANT_21,EUR 20000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Philodendron_verrucosum.jpg,,,,,,Philodendron verrucosum,"Philodendron is a stunning plant known for its velvety, heart-shaped leaves with striking veination and fuzzy, reddish petioles.",philodendron-verrucosum,Philodendron verrucosum,"Philodendron is a stunning plant known for its velvety, heart-shaped leaves with striking veination and fuzzy, reddish petioles.",,,
ecommerce2024rss_single,1,PLANT_22,EUR 24500,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Philodendron.jpg,,,,,,Philodendron,"Philodendron is a diverse and popular genus of tropical plants known for their lush, often heart-shaped leaves and vining or climbing growth habits.",philodendron,Philodendron,"Philodendron is a diverse and popular genus of tropical plants known for their lush, often heart-shaped leaves and vining or climbing growth habits.",,,
ecommerce2024rss_single,1,PLANT_23,EUR 20000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Polyscias_ming_bonsai.jpg,,,,,,Polyscias ming bonsai,"Polyscias Ming Bonsai is an elegant miniature tree featuring intricately divided, fern-like foliage and a graceful, sculptural form.",polyscias-ming-bonsai,Polyscias ming bonsai,"Polyscias Ming Bonsai is an elegant miniature tree featuring intricately divided, fern-like foliage and a graceful, sculptural form.",,,
ecommerce2024rss_single,1,PLANT_24,EUR 25023,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Sansevieria_Zeylanica.jpg,,,,,,Sansevieria Zeylanica,"Sansevieria is a hardy and low-maintenance houseplant featuring long, upright, sword-shaped leaves with attractive, mottled green patterns.",sansevieria-zeylanica,Sansevieria Zeylanica,"Sansevieria is a hardy and low-maintenance houseplant featuring long, upright, sword-shaped leaves with attractive, mottled green patterns.",,,
ecommerce2024rss_single,1,PLANT_25,EUR 30000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Sansevieria.jpg,,,,,,Sansevieria,"Sansevieria is an easy-care houseplant characterized by its upright, sword-shaped leaves that add a striking architectural element to any indoor environment.",sansevieria,Sansevieria,"Sansevieria is an easy-care houseplant characterized by its upright, sword-shaped leaves that add a striking architectural element to any indoor environment.",,,
ecommerce2024rss_single,1,PLANT_26,EUR 25000,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Scindapsus_pictus%20_Trebie.jpg,,,,,,Scindapsus pictus 'Trebie',"Scindapsus features heart-shaped, dark green leaves with striking silver variegation, making it a beautiful and low-maintenance choice for any indoor space.",scindapsus-pictus-trebie,Scindapsus pictus 'Trebie',"Scindapsus features heart-shaped, dark green leaves with striking silver variegation, making it a beautiful and low-maintenance choice for any indoor space.",,,
ecommerce2024rss_single,1,PLANT_27,EUR 25026,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Scindapsus.jpg,,,,,,Scindapsus,"Scindapsus is an easy-care houseplant featuring heart-shaped leaves with attractive silver variegation, perfect for adding a touch of elegance to any indoor space.",scindapsus,Scindapsus,"Scindapsus is an easy-care houseplant featuring heart-shaped leaves with attractive silver variegation, perfect for adding a touch of elegance to any indoor space.",,,
ecommerce2024rss_single,1,PLANT_28,EUR 42500,standard,Plant>Single,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plants/Spathiphyllum.jpg,,,,,,Spathiphyllum,"Spathiphyllum is a popular houseplant admired for its glossy, dark green leaves and elegant white flowers, making it a beautiful and low-maintenance.",spathiphyllum,Spathiphyllum,"Spathiphyllum is a popular houseplant admired for its glossy, dark green leaves and elegant white flowers, making it a beautiful and low-maintenance.",,,
ecommerce2024rss_set,1,SET_1,EUR 58500,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-0Jb4-sGhC8s-unsplash.jpg,,,,,,Minimalist Garden,"Bring a touch of nature into your home with this curated set of five small houseplants, each nestled in elegant white pots. Perfect for adding a fresh, clean aesthetic to any space",minimalist_garden,Minimalist Garden,"Bring a touch of nature into your home with this curated set of five small houseplants, each nestled in elegant white pots. Perfect for adding a fresh, clean aesthetic to any space",,,5
ecommerce2024rss_set,1,SET_2,EUR 45000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/Baby_Caladium.jpg,,,,,,Pink Caladium Delight,"Add a burst of color to your home with this set of three Caladium plants, featuring vibrant pink leaves in an array of colorful pots. Perfect for brightening up any room.",pink_caladium_delight,Pink Caladium Delight,"Add a burst of color to your home with this set of three Caladium plants, featuring vibrant pink leaves in an array of colorful pots. Perfect for brightening up any room.",,,3
ecommerce2024rss_set,1,SET_3,EUR 35000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-F5PvC7s9GZE-unsplash.jpg,,,,,,Simplicity Trio,"Enhance your home with this set of three unpretentious succulents, each presented in a sleek white pot. Ideal for adding a modern, minimalist touch to any room.",simplicity_trio,Simplicity Trio,"Enhance your home with this set of three unpretentious succulents, each presented in a sleek white pot. Ideal for adding a modern, minimalist touch to any room.",,,3
ecommerce2024rss_set,1,SET_4,EUR 76000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-IpC41o-VElo-unsplash.jpg,,,,,,Serene Set,"Bring tranquility to your home with this set of three beautiful houseplants: Pilea, Epipremnum, and Spathiphyllum, each in a light blue pot.",serene_set,Serene Set,"Bring tranquility to your home with this set of three beautiful houseplants: Pilea, Epipremnum, and Spathiphyllum, each in a light blue pot.",,,4
ecommerce2024rss_set,1,SET_5,EUR 80000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-ae44ZY_4iAs-unsplash.jpg,,,,,,Urban Oasis,"Transform your space with this set of five unpretentious plants, each housed in a dark grey, brutalist pot. Perfect for adding a modern, urban touch to any environment.",urban_oasis,Urban Oasis,"Transform your space with this set of five unpretentious plants, each housed in a dark grey, brutalist pot. Perfect for adding a modern, urban touch to any environment.",,,5
ecommerce2024rss_set,1,SET_6,EUR 76000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-fygXg-FSDeA-unsplash.jpg,,,,,,Effortless Greens,"Enhance your home with this set of four unpretentious, easy-care plants, each in an elegant beige pot. Designed for those who appreciate simplicity and style.",effortless_greens,Effortless Greens,"Enhance your home with this set of four unpretentious, easy-care plants, each in an elegant beige pot. Designed for those who appreciate simplicity and style.",,,4
ecommerce2024rss_set,1,SET_7,EUR 25000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-mrx8eD6PzHM-unsplash.jpg,,,,,,Sleek Trio,"Upgrade your home decor with this set of three Sansevieria plants, each in a sleek white pot. Ideal for busy individuals, this trio combines style and ease, bringing a clean, contemporary vibe to your living space.",sleek_trio,Sleek Trio,"Upgrade your home decor with this set of three Sansevieria plants, each in a sleek white pot. Ideal for busy individuals, this trio combines style and ease, bringing a clean, contemporary vibe to your living space.",,,3
ecommerce2024rss_set,1,SET_8,EUR 30000,standard,Plant>Set,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Plant-sets/feey-wzo-1QRSYq4-unsplash.jpg,,,,,,Fresh set,"Introduce a burst of nature into your home with this set of five different young plants, each in a crisp white pot. Easy to care for and beautifully diverse, these plants bring a harmony to any space.",fresh_set,Fresh set,"Introduce a burst of nature into your home with this set of five different young plants, each in a crisp white pot. Easy to care for and beautifully diverse, these plants bring a harmony to any space.",,,5
ecommerce2024rss_fert,1,FERT_1,EUR 400,standard,Gadget>Fertilizer,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/fertilizers/feey-5UCJ5VynEQ8-unsplash.jpg,,,,,,GrowBoost,"A premium fertilizer designed to nourish your houseplants and promote vigorous growth. This balanced formula provides essential nutrients, enhancing root development, leaf health, and overall vitality. ",grow_boost,GrowBoost,"A premium fertilizer designed to nourish your houseplants and promote vigorous growth. This balanced formula provides essential nutrients, enhancing root development, leaf health, and overall vitality. ",,,
ecommerce2024rss_fert,1,FERT_2,EUR 1000,standard,Gadget>Fertilizer,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/fertilizers/feey-BMwcZG3HdVg-unsplash.jpg,,,,,,Nature Guard,Your go-to solution for safeguarding houseplants from pesky insects. This potent yet gentle formula effectively tackles a variety of common pests.,nature_guard,Nature Guard,Your go-to solution for safeguarding houseplants from pesky insects. This potent yet gentle formula effectively tackles a variety of common pests.,,,
ecommerce2024rss_fert,1,FERT_3,EUR 600,standard,Gadget>Fertilizer,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/fertilizers/feey-Dkp-MGeAsn0-unsplash.jpg,,,,,,Leaf Lush,"A high-quality fertilizer crafted to support the growth and health of your houseplants. Packed with essential nutrients, this formula enhances root strength, foliage richness, and overall plant vitality.",leaf_lush,Leaf Lush,"A high-quality fertilizer crafted to support the growth and health of your houseplants. Packed with essential nutrients, this formula enhances root strength, foliage richness, and overall plant vitality.",,,
ecommerce2024rss_fert,1,FERT_4,EUR 500,standard,Gadget>Fertilizer,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/fertilizers/feey-vgK3LVWxmmI-unsplash.jpg,,,,,,Insect Defense,"An effective solution for combating insects living in your houseplants. Our unique formula swiftly and safely eliminates pests such as aphids, spider mites, ensuring the healthy growth of your green companions. ",insect_defense,Insect Defense,"An effective solution for combating insects living in your houseplants. Our unique formula swiftly and safely eliminates pests such as aphids, spider mites, ensuring the healthy growth of your green companions. ",,,
ecommerce2024rss_secateur,1,Secat_1,EUR 500,standard,Gadget>Secateur,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/secateurs/alex-gruber-KVsFiYXy0BE-unsplash.jpg,,,,,,Pink Secateur,"A stylish and efficient pink plant secateur designed for precision pruning. Its sharp, durable blades make cutting through stems and branches effortless, promoting healthy plant growth.",pink_secateur,,,,,
ecommerce2024rss_secateur,1,Secat_2,EUR 1000,standard,Gadget>Secateur,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/secateurs/feey-qma32fRiQJQ-unsplash.jpg,,,,,,Vintage Cut,"A timeless black secateur crafted for gardeners who appreciate both style and functionality. Its classic design features robust, sharp blades that ensure precise and clean cuts, promoting healthy plant growth.",vintage_cut,,,,,
ecommerce2024rss_secateur,1,Secat_3,EUR 500,standard,Gadget>Secateur,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/secateurs/irena-carpaccio-WxVrrNZ5Ss0-unsplash.jpg,,,,,,Bright Clip,"A vibrant orange secateur designed for efficient and precise pruning. Featuring sharp, high-quality blades, it effortlessly cuts through stems and branches, ensuring your plants stay healthy and well-maintained. ",bright_clip,,,,,
ecommerce2024rss_shovel,1,Shovel_1,EUR 1000,standard,Gadget>Shovel,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/shovel/feey-LBQecLEhbBk-unsplash.jpg,,,,,,Eco Dig,"A compact and efficient shovel designed specifically for home plants. Its sturdy, ergonomic design ensures easy handling and precise digging, making repotting and soil maintenance a breeze.",eco_dig,,,,large,
ecommerce2024rss_shovel,2,Shovel_2,EUR 600,standard,Gadget>Shovel,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/shovel/feey-ok2CQkIKXEE-unsplash.jpg,,,,,,Eco Dig,"A compact and efficient shovel designed specifically for home plants. Its sturdy, ergonomic design ensures easy handling and precise digging, making repotting and soil maintenance a breeze.",eco_dig,,,,medium,
ecommerce2024rss_shovel,3,Shovel_3,EUR 500,standard,Gadget>Shovel,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/shovel/gryffyn-m-JR7IPWMMXcc-unsplash.jpg,,,,,,Eco Dig,"A compact and efficient shovel designed specifically for home plants. Its sturdy, ergonomic design ensures easy handling and precise digging, making repotting and soil maintenance a breeze.",eco_dig,,,,small,
ecommerce2024rss_spray,1,Spray_1,EUR 800,standard,Gadget>Spray,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/sprays/feey-2v5lb7yR6JI-unsplash.jpg,,,,,,Terra Mist,"A specialized water spray designed to nourish and hydrate your indoor plants. Enriched with organic extracts, this unique formula promotes healthy growth and vibrant foliage. ",terra_mist,,,,,
ecommerce2024rss_spray,1,Spray_2,EUR 600,standard,Gadget>Spray,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/sprays/feey-OYfQdJ3xQAc-unsplash.jpg,,,,,,Aqua Bloom,"A versatile water spray designed to keep your indoor plants hydrated and thriving. With its gentle misting action, it provides the perfect level of moisture to your plants' leaves and soil.",aqua_bloom,,,,,
ecommerce2024rss_spray,1,Spray_3,EUR 1000,standard,Gadget>Spray,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/sprays/lucas-van-oort-MHrmbMQ8DJ8-unsplash.jpg,,,,,,Flora Spritz,"A convenient and effective mister designed for nurturing your indoor plants. Its fine mist gently hydrates leaves and soil, providing essential moisture for healthy growth.",flora_spritz,,,,,
ecommerce2024rss_can,1,Can_1,EUR 1000,standard,Gadget>Can,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/watering-cans/feey-k3jEtUmKhJo-unsplash.jpg,,,,,,Sunburst,Sunburst combines functionality with style in this vibrant watering can designed for home plants. Its sleek design adds a touch of modern elegance to your routine.,sunburst,,,,,
ecommerce2024rss_can,1,Can_2,EUR 15000,standard,Gadget>Can,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/watering-cans/hitomi-bremmer-WrR6KiGA3bo-unsplash.jpg,,,,,,Chic Pour,"  The epitome of style and functionality in watering cans for home plants. Its sleek and modern design adds a touch of elegance to your indoor gardening space. ",chic_pour,,,,,
ecommerce2024rss_can,1,Can_3,EUR 1800,standard,Gadget>Can,https://raw.githubusercontent.com/belosnezhie/eCommerce-Application-data/main/images/Gadgets/watering-cans/kara-eads-X8X5l0BDPk0-unsplash.jpg,,,,,,Bloom Flow,"  BloomFlow offers a blend of elegance and practicality in a watering can designed for home plants. Its graceful curves and refined design make it a stylish addition to any indoor garden.",bloom_flow,,,,,
